time,pulldown_on,pulldown_off,pullup_on,pullup_off
0.,3.30000000,2.12301430,0.,1.11819568
2.50000000e-10,3.30011459,2.12593066,6.8692053e-05,1.11726778
3.25000000e-10,3.30005115,2.12472839,3.5988248e-04,1.11685561
3.75000000e-10,3.29996041,2.12206120,6.8506844e-04,1.11670871
4.25000000e-10,3.29983270,2.11729675,9.4577957e-04,1.11678062
4.75000000e-10,3.29967579,2.11068286,1.1330152e-03,1.11716410
6.75000000e-10,3.29873052,2.07610953,1.0506529e-03,1.12320665
7.00000000e-10,3.29857878,2.07269878,6.7915905e-04,1.12466138
7.25000000e-10,3.29844347,2.07051657,1.6991272e-04,1.12631205
7.50000000e-10,3.29835078,2.07008079,-4.6394189e-04,1.12815742
7.75000000e-10,3.29829759,2.07190631,-1.2089586e-03,1.13013920
8.00000000e-10,3.29826423,2.07648992,-2.0532280e-03,1.13221085
8.25000000e-10,3.29830277,2.08430581,-2.9871892e-03,1.13437439
8.50000000e-10,3.29844478,2.09580908,-4.0029909e-03,1.13656121
8.75000000e-10,3.29870912,2.11144510,-5.0946965e-03,1.13865947
9.00000000e-10,3.29910745,2.13166892,-6.2605075e-03,1.14053002
9.25000000e-10,3.29964672,2.15699043,-7.5033720e-03,1.14201527
9.50000000e-10,3.30033265,2.18808692,-8.8142300e-03,1.14294638
9.75000000e-10,3.30116803,2.22554039,-1.0210254e-02,1.14314247
1.00000000e-09,3.30214863,2.26896633,-1.1714872e-02,1.14241315
1.02500000e-09,3.30327020,2.31807973,-1.3367718e-02,1.14056985
1.05000000e-09,3.30453009,2.37282940,-1.5218873e-02,1.13742643
1.07500000e-09,3.30592820,2.43300250,-1.7187770e-02,1.13279756
1.10000000e-09,3.30747056,2.49803093,-1.9238017e-02,1.12649706
1.12500000e-09,3.30916977,2.56714966,-2.1401569e-02,1.11832760
1.15000000e-09,3.31104087,2.63941676,-2.3711889e-02,1.10807087
1.17500000e-09,3.31311712,2.71368133,-2.6219476e-02,1.09548907
1.22500000e-09,3.31769270,2.86240955,-3.2101489e-02,1.06193254
1.25000000e-09,3.31997603,2.93318070,-3.5647241e-02,1.04034972
1.27500000e-09,3.32222395,2.99834364,-3.9394210e-02,1.01528398
1.30000000e-09,3.32440242,3.05525404,-4.3485319e-02,0.98683084
1.32500000e-09,3.32648616,3.10159873,-4.8387535e-02,0.95581718
1.35000000e-09,3.32846053,3.13766995,-5.1180730e-02,0.92262858
1.37500000e-09,3.33031613,3.16656973,-4.4172697e-02,0.88752501
1.40000000e-09,3.33204940,3.19016540,-3.6941059e-02,0.85079613
1.42500000e-09,3.33366178,3.20953668,-3.0716747e-02,0.81274299
1.45000000e-09,3.33515876,3.22547678,-2.5345065e-02,0.77366551
1.47500000e-09,3.33653125,3.23857144,-2.0789124e-02,0.73384396
1.50000000e-09,3.33775755,3.24929439,-1.7028553e-02,0.69359143
1.52500000e-09,3.33886215,3.25804074,-1.4009511e-02,0.65321040
1.55000000e-09,3.33987234,3.26515260,-1.1648174e-02,0.61294753
1.60000000e-09,3.34168872,3.27558490,-8.5203182e-03,0.53368902
1.77500000e-09,3.34661974,3.28997892,-7.0192167e-03,0.28701434
1.82500000e-09,3.34759992,3.29082778,-7.4360616e-03,0.22974366
1.92500000e-09,3.34947469,3.29119073,-8.4456654e-03,0.13859675
2.05000000e-09,3.35117274,3.29056477,-9.6458731e-03,6.6000439e-02
2.07500000e-09,3.35033180,3.29038556,-9.8544822e-03,5.6480616e-02
2.15000000e-09,3.34035374,3.28982270,-1.0381502e-02,3.6112287e-02
2.20000000e-09,3.33466143,3.28944827,-1.0605271e-02,2.9266151e-02
2.25000000e-09,3.32993798,3.28908697,-1.0579396e-02,2.4948909e-02
2.32500000e-09,3.32417430,3.28858094,-9.8127193e-03,2.0069062e-02
2.40000000e-09,3.31961744,3.28812352,-8.8891743e-03,1.6355078e-02
2.47500000e-09,3.31599646,3.28771273,-5.9410176e-03,1.3465954e-02
2.65000000e-09,3.30985250,3.28673545,1.0904162e-02,9.0232360e-03
2.70000000e-09,3.30808165,3.28524898,1.8311463e-02,8.3030629e-03
2.75000000e-09,3.30535510,3.28364529,2.6824346e-02,8.7233517e-03
2.80000000e-09,3.30126737,3.28254882,3.6405061e-02,9.3243946e-03
2.85000000e-09,3.29561332,3.28191130,4.7013308e-02,9.4063454e-03
2.90000000e-09,3.28831596,3.28159665,5.8607758e-02,9.1589951e-03
2.95000000e-09,3.27936795,3.28150378,7.1148346e-02,8.7791239e-03
3.02500000e-09,3.26293557,3.28162729,9.1632348e-02,8.1538641e-03
3.07500000e-09,3.25006745,3.28181961,0.10634215,7.7565760e-03
3.12500000e-09,3.23576116,3.28206281,0.12186344,7.3920741e-03
